book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
4107,机器岛（上下）,(法)儒勒·凡尔纳, 中国青年出版社,1980,415, 1.10(全2册),None,8.2,617,53293
4108,西遊奇伝 大猿王 (1),寺田克也, 集英社, 1998/12,99," 1,995円（税込）",9.78E+12,8.8,644,1169
4109,体育館の殺人,青崎有吾, 東京創元社, 2012/10/11,336," 1,785円",9.78E+12,8.2,525,1952
4110,京極夏彦対談集 妖怪大談義,[日] 京極夏彦, 角川書店, 2005/7/1,418," 1,575円",9.78E+12,0,None,3087
4111,フラクション,駕籠真太郎, コアマガジン, 2009/11/07,208," 1,575円",9.78E+12,8.8,392,3662
4112,はじめてのドール?コーディネイト?レシピ お人形服作りの基本とコツ,関口妙子, グラフィック社,39814,80," 1,575円",9.78E+12,9.3,20,3922
4113,星を撃ち落とす,友桐夏, 東京創元社, 2012/6/30,256," 1,575 円",9.78E+12,0,None,4536
4114,アナモルフォシスの冥獣,駕籠真太郎, コアマガジン,40500,135," 1,575 円",9.78E+12,8.1,510,5115
4115,DDD 2,奈須 きのこ, 講談社,2007,411," 1,575 円",9.78E+12,9.1,462,5461
4116,明日吹く風のために……,天海佑希, 講談社,35004,283," 1,529円",9.78E+12,9.6,59,5885
4117,プライベート ゲィ ライフ,[日]伏見憲明, 学陽書房, 1991/6/10,277," 1,500円",9.78E+12,0,None,6063
4118,少女椿,丸尾末広, 青林工芸舎,2003,160," 1,365円（税込）",9.78E+12,8.5,722,6342
4119,藤村雅子生活刺绣,藤村雅子,None, 2006/6,113," 1,333日",9.78E+12,7.3,27,7001
4120,ヘルタースケルター,岡崎京子, 祥伝社,37712,315," 1,260円（税込）",9.78E+12,7.7,73,8167
4121,太宰治,太宰治, 新潮社, 1983/09/22,111," 1,260円",9.78E+12,8.6,66,9246
4122,殺殺草紙,駕籠真太郎, 平和出版, 2004/05/20,198," 1,200円 (税込)",9.78E+12,8.6,940,9731
4123,失踪日記,吾妻 ひでお, イースト?プレス, 2005/3, 199ページ," 1,197 円（税込）",9.78E+12,8.1,20,9771
4124,マラソン1年生,たかぎなおこ, メディアファクトリー, 2009/9/30, 176ページ," 1,155円（税込）",9.78E+12,8.9,179,10140
4125,愛しのローカルごはん旅 もう一杯！,たかなおこ, メディアファクトリー, 2011/7/15,175," 1,155円(税込)",9.78E+12,9.2,20,11285
4126,ローカル線で温泉ひとりたび,たかぎなおこ, メディアファクトリー,40277, 176ページ," 1,155円",9.78E+12,8.8,52,11692
4127,糕點聖經,法國藍帶廚藝學院 Le Cordon Bleu, 大境文化事業有限公司,2008,224,1100,9.79E+12,8.9,57,11927
4128,ひとりたび1年生,たかぎなおこ, メディアファクトリー, 2006/11,144," 1,050円(税込)",9.78E+12,8.2,126,11945
4129,ひとりぐらしも9年め,高木直子, メディアファクトリー,39925, 160ページ," 1,029円(税込)",9.78E+12,8.6,59,11999
4130,ひとりぐらしも5年め,たかぎなおこ, メディアファクトリー, 2003/07, 159ページ," 1,029円(税込)",9.78E+12,9.2,26,12381
4131,攻殻機動隊 1,士郎正宗, 講談社, 1991/10/2, 347ページ," 1,020円（税込）",9.78E+12,8.9,156,12874
4132,殺殺草紙 大江戸無残十三苦,駕籠真太郎, 太田出版,38930,160," 1,000円（税込）",9.78E+12,8.6,405,12946
4133,浮き草デイズ 1,たかぎなおこ, 文藝春秋, 2008/05/16, 124ページ," 1,000円(税込)",9.78E+12,8.4,66,13282
4134,浮き草デイズ〈2〉,たかぎなおこ, 文藝春秋, 2009/03, 132ページ," 1,000円(税込)",9.78E+12,9.1,29,13776
4135,美少女战士（全18卷）,武内直子, 中国对外翻译出版社,1998,None, 07.50 / 册,9.79E+12,8.2,7967,13794
4136,把玩莱卡,张大, 开源共享,2006,300, 0。00,9.78E+12,8.9,30,14192
